epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.6922713176682689,0.693088256913102,0.55,0.6267281105990783,0.5101234567901235,0.021382743001503092,9.463030432219986e-06,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.001045968891145456
1,0.6914280525852649,0.6922083536697692,0.5444444444444444,0.4533333333333333,0.5262962962962963,0.02094017418068693,9.064729553593943e-06,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0010533889626060783
2,0.6906035887091774,0.6913451932639364,0.5666666666666667,0.48,0.548395061728395,0.020453201108529082,8.635740701562923e-06,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0010652475968200763
3,0.6898009169252559,0.69050333933578,0.6,0.47058823529411764,0.575679012345679,0.019923569790172103,8.180518476625358e-06,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0010797104888950844
4,0.6890223078427601,0.6896865304699542,0.6055555555555555,0.4892086330935252,0.5951851851851852,0.019359860877887353,7.709053882037026e-06,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0010956363064170528
5,0.6882698535315664,0.6888977406336654,0.6222222222222222,0.5342465753424658,0.6097530864197531,0.018765189482746684,7.226487793452275e-06,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.00111230427711159
6,0.6875464142864861,0.6881398481859858,0.6444444444444445,0.5675675675675675,0.6208641975308642,0.018143297240106354,6.738208334059797e-06,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.001129245209857771
7,0.6868552217281904,0.687415849685366,0.6388888888888888,0.5517241379310345,0.625925925925926,0.017505946966846094,6.255117889520798e-06,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0011461382889914854
8,0.6861988679292483,0.6867282342719587,0.6444444444444445,0.5844155844155844,0.6323456790123456,0.01687524240259501,5.794157267385944e-06,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.001162755155276141
9,0.6855783247192749,0.6860780989525569,0.6444444444444445,0.5949367088607594,0.6319753086419754,0.01628271498257659,5.376327153357613e-06,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0011789353530860535
