epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6959150420109385,0.6982701454993804,0.5301204819277109,0.4935064935064935,0.4962253193960511,0.061351719892005274,7.769621296741232e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
1,0.6932781664051108,0.6959850859349112,0.5421686746987951,0.5128205128205128,0.5177119628339141,0.059606017037478726,7.327116715825649e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
2,0.6907178743449058,0.6937402645909074,0.5421686746987951,0.525,0.532520325203252,0.05789884022656003,6.907723898116106e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
3,0.6882367130539442,0.6915353467470678,0.5542168674698795,0.5432098765432098,0.5496515679442509,0.05623296522371278,6.511151955514697e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
4,0.6858358075933705,0.689368651092258,0.5662650602409639,0.5714285714285714,0.5670731707317074,0.05461111146740815,6.136964899343293e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
5,0.6835136439683572,0.6872360238812633,0.5783132530120482,0.5882352941176471,0.5900116144018583,0.05303521865325624,5.784437957937602e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
6,0.6812651412359484,0.6851304292719903,0.6144578313253012,0.6363636363636364,0.6146922183507549,0.05150567472120745,5.452460927682877e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
7,0.6790822741152726,0.683043543696126,0.6265060240963856,0.6436781609195402,0.6321138211382114,0.05002128242034776,5.139659010395042e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
8,0.676956630813823,0.6809691174412943,0.6265060240963856,0.6436781609195402,0.6506968641114983,0.04857990557254784,4.8446491892730436e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
9,0.6748821586985178,0.6789056666905254,0.6265060240963856,0.6436781609195402,0.6617305458768874,0.04717858973888722,4.5661138908434155e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
10,0.6871365950032773,0.6768569248463895,0.6506024096385542,0.6588235294117647,0.6762485481997678,0.05769452768405291,4.621996933940109e-05,0.1111111111111111,3,21,1.0,add_layer,committed,1,0
11,0.6841756326189083,0.6842827047451919,0.6024096385542169,0.6915887850467289,0.6454703832752613,0.05573366365514359,4.314221226219503e-05,0.1111111111111111,3,21,1.0,keep,none,1,0
12,0.6812795155375353,0.681727603921511,0.5903614457831325,0.6851851851851852,0.684959349593496,0.05360146999130654,3.9890484419167654e-05,0.1111111111111111,3,21,1.0,keep,none,1,0
13,0.6784723738368579,0.6792616849846476,0.5783132530120482,0.6728971962616822,0.7157375145180024,0.05136841149539435,3.659924610330777e-05,0.1111111111111111,3,21,1.0,keep,none,1,0
14,0.6757723051741346,0.676892227345688,0.5783132530120482,0.6666666666666666,0.7395470383275261,0.04913998521788542,3.34369084237896e-05,0.1111111111111111,3,21,1.0,keep,none,1,0
15,0.6887335587939719,0.6746188122862621,0.6144578313253012,0.6862745098039216,0.7523228803716608,0.05037873768736766,2.6435683596945316e-05,0.08333333333333333,4,28,1.0,add_layer,committed,2,0
16,0.6854860263689122,0.6847082845103983,0.6024096385542169,0.6024096385542169,0.6547619047619049,0.04614550453182214,2.2172842116395206e-05,0.08333333333333333,4,28,1.0,keep,none,2,0
17,0.6825403432099209,0.6817862520315255,0.6506024096385542,0.6506024096385542,0.7009291521486644,0.04176569004859203,1.8154284067850053e-05,0.08333333333333333,4,28,1.0,keep,none,2,0
18,0.6799026013639589,0.6791510766155914,0.6987951807228916,0.6987951807228916,0.7409988385598142,0.03749210583141569,1.4617001079939687e-05,0.08333333333333333,4,28,1.0,keep,none,2,0
