epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.7357519714576042,0.7398761461470318,0.4939759036144578,0.6612903225806451,0.1948315911730546,0.04929544324109026,5.060000339972816e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0004105825349222445
1,0.7332402432328177,0.7373011288294032,0.4939759036144578,0.6612903225806451,0.20005807200929154,0.04992935980592323,5.1921526184363814e-05,0.1875,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.00041925842399351027
2,0.7307080329688377,0.7346894422292202,0.4939759036144578,0.6612903225806451,0.2052845528455285,0.050253562998405325,5.260485659963212e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0004337314522684896
3,0.728172425478826,0.7320588726591878,0.4939759036144578,0.6612903225806451,0.20934959349593496,0.050268021484005956,5.2638746507140175e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.00045225170766898567
4,0.7256530792715019,0.7294326569548352,0.4939759036144578,0.6612903225806451,0.2134146341463415,0.04997733745170102,5.2033423403367896e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.00047371352645450814
5,0.7231701763311431,0.7268349807323319,0.4939759036144578,0.6612903225806451,0.22154471544715448,0.04940375688387649,5.084654342295739e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0004973762094617665
6,0.7207427140156928,0.7242877072054003,0.4939759036144578,0.6612903225806451,0.2296747967479675,0.04858202128502328,4.916907051101939e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005227078671394025
7,0.7183875695282999,0.7218098225621381,0.4939759036144578,0.6612903225806451,0.23432055749128922,0.04755494128326829,4.711134280005081e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005492950747148458
8,0.7161189960434118,0.7194173716646348,0.4939759036144578,0.6612903225806451,0.24448315911730548,0.04636998323841571,4.479120805340965e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.00057679099750458
9,0.7139482997252905,0.717123310986998,0.4939759036144578,0.6612903225806451,0.2511614401858305,0.045076468496867306,4.232430046263011e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0006048877462488471
10,0.7291153308947459,0.7149373687851442,0.4939759036144578,0.6612903225806451,0.2616144018583043,0.049682441970188805,3.297087042649553e-05,0.4444444444444444,3,21,1.0,add_layer,in_progress,0,0,add_layer,False,False,False,False,False,False,False,[],0.000633303973177385
11,0.7164192324498236,0.7278784497935544,0.3855421686746988,0.5321100917431193,0.2511614401858304,0.05280955703033405,3.529447272944153e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.0005887306011312567
12,0.6889441131653693,0.7160371438513858,0.4578313253012048,0.628099173553719,0.292973286875726,0.047211348236654696,2.807079965488058e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,0,keep,False,False,False,False,True,False,False,[],0.0006177315488553356
13,0.6642975460898217,0.6894007459889758,0.4939759036144578,0.6612903225806451,0.6024970963995354,0.06478987001592501,5.7360385572495006e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.0008210129240388332
14,0.6651553941072557,0.6623454647416633,0.7108433734939759,0.6923076923076923,0.8101045296167247,0.06881572892179999,6.471872825793067e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.0012656826813130001
15,0.6887172919832222,0.6646261076565293,0.6746987951807228,0.64,0.7865853658536586,0.07384997727321303,5.65358872858399e-05,0.3333333333333333,4,28,1.0,add_layer,in_progress,1,0,add_layer,False,False,False,False,False,False,False,[],0.0014980781481337977
