epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.6915536387306489,0.688986719485663,0.49019607843137253,0.6533333333333333,0.5794886582083814,0.02956092999731228,1.800755614438977e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.001135286404580274
1,0.6902023523559392,0.6879051429864793,0.49019607843137253,0.6533333333333333,0.5879469434832756,0.029653611841571902,1.8180212317601884e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0011452050930617858
2,0.688841438335949,0.6868149065471556,0.49019607843137253,0.6533333333333333,0.5981353325643983,0.02966701473583397,1.8246513058597246e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0011613734148557962
3,0.6874771616546607,0.6857206274283378,0.4852941176470588,0.6488294314381271,0.6092848904267589,0.029596767506454322,1.8199894698938522e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.001181555347762654
4,0.6861160286353392,0.6846268960343523,0.4852941176470588,0.6488294314381271,0.6167820069204153,0.029446336609510397,1.804393459877148e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0012043713684385862
5,0.6847649154450353,0.6835384273416579,0.4852941176470588,0.6488294314381271,0.6242791234140714,0.029224209704282474,1.778911073113015e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0012289508093329686
6,0.6834305607767167,0.682459660356224,0.4852941176470588,0.6488294314381271,0.6321607074202229,0.02894387246915571,1.7452546831906245e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0012547270881947835
7,0.6821190776332281,0.6813943709409812,0.49019607843137253,0.6510067114093959,0.6401384083044983,0.028622449716092416,1.7055936691376256e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0012813190882070876
8,0.6808354707783224,0.6803451916077157,0.49019607843137253,0.6510067114093959,0.644463667820069,0.02827902715750332,1.6623155180569922e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0013084658002286845
9,0.6795833319250316,0.6793133580561134,0.4950980392156863,0.6531986531986532,0.6519607843137255,0.02793278449052616,1.6177811985380078e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0013359911219143405
10,0.6707732829954838,0.678298897533431,0.5,0.6577181208053692,0.6590734332948867,0.04253984676590128,2.5126115918466533e-05,0.4444444444444444,3,21,1.0,add_layer,in_progress,0,0,add_layer,False,False,False,False,True,False,False,[],0.0013637821697403832
11,0.6710359441073156,0.6705071335301721,0.5294117647058824,0.6689655172413793,0.7412533640907344,0.04211176021438476,2.4530339549674243e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,0,keep,False,False,False,False,True,False,False,[],0.001475104874249315
12,0.679450590586168,0.6710999906526564,0.5490196078431373,0.6783216783216783,0.7194348327566321,0.04995435299816105,3.3810167135314584e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.001534168858683445
13,0.717171772609763,0.6802033048623221,0.5735294117647058,0.6477732793522267,0.6512879661668588,0.06279421367583701,5.453752273505257e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.0014617072152131013
14,0.7214297649532836,0.7153933168944601,0.39215686274509803,0.27058823529411763,0.30094194540561325,0.04422062410126948,2.7134519604054825e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.0011449429998793223
15,0.6783648178069726,0.71495857850576,0.37745098039215685,0.31351351351351353,0.312475970780469,0.027601469608988287,1.5741391006527226e-05,0.16666666666666666,2,14,1.0,keep,rolled_back,0,1,keep,False,False,False,False,False,False,False,[],0.0009572225371450979
16,0.6771360103789966,0.677177641893972,0.49019607843137253,0.6486486486486487,0.6642637447135716,0.027339633297279963,1.5387213291569028e-05,0.16666666666666666,2,14,1.0,keep,none,0,1,keep,False,False,False,False,False,False,False,[],0.001149252232656656
